FeatureCode,DateCode,Measurement,Units,Value,Population Group,Breastfeeding Data Collection Time
S08000022,2005/2006,Count,Babies,325,Breastfed,6 To 8 Week Review
S08000022,2005/2006,Count,Babies,254,Exclusively Breastfed,6 To 8 Week Review
S08000024,2005/2006,Count,Babies,4839,Breastfed,First Visit
S08000024,2005/2006,Count,Babies,4045,Exclusively Breastfed,First Visit
S08000024,2005/2006,Count,Babies,3960,Breastfed,6 To 8 Week Review
S08000024,2005/2006,Count,Babies,2984,Exclusively Breastfed,6 To 8 Week Review
S08000029,2005/2006,Count,Babies,1593,Breastfed,First Visit
S08000029,2005/2006,Count,Babies,1428,Exclusively Breastfed,First Visit
S08000029,2005/2006,Count,Babies,1196,Breastfed,6 To 8 Week Review
S08000029,2005/2006,Count,Babies,924,Exclusively Breastfed,6 To 8 Week Review
S08000030,2005/2006,Count,Babies,1813,Breastfed,First Visit
S08000030,2005/2006,Count,Babies,1591,Exclusively Breastfed,First Visit
S08000030,2005/2006,Count,Babies,1450,Breastfed,6 To 8 Week Review
S08000030,2005/2006,Count,Babies,1090,Exclusively Breastfed,6 To 8 Week Review
S08000015,2006/2007,Count,Babies,1355,Breastfed,First Visit
S08000015,2006/2007,Count,Babies,1221,Exclusively Breastfed,First Visit
S08000015,2006/2007,Count,Babies,1015,Breastfed,6 To 8 Week Review
S08000015,2006/2007,Count,Babies,770,Exclusively Breastfed,6 To 8 Week Review
S08000016,2006/2007,Count,Babies,535,Breastfed,First Visit
S08000016,2006/2007,Count,Babies,451,Exclusively Breastfed,First Visit
S08000016,2006/2007,Count,Babies,432,Breastfed,6 To 8 Week Review
S08000016,2006/2007,Count,Babies,322,Exclusively Breastfed,6 To 8 Week Review
S08000017,2006/2007,Count,Babies,611,Breastfed,First Visit
S08000017,2006/2007,Count,Babies,491,Exclusively Breastfed,First Visit
S08000017,2006/2007,Count,Babies,473,Breastfed,6 To 8 Week Review
S08000017,2006/2007,Count,Babies,321,Exclusively Breastfed,6 To 8 Week Review
S08000019,2006/2007,Count,Babies,1209,Breastfed,First Visit
S08000019,2006/2007,Count,Babies,997,Exclusively Breastfed,First Visit
S08000019,2006/2007,Count,Babies,886,Breastfed,6 To 8 Week Review
S08000019,2006/2007,Count,Babies,652,Exclusively Breastfed,6 To 8 Week Review
S08000022,2006/2007,Count,Babies,375,Breastfed,First Visit
S08000022,2006/2007,Count,Babies,322,Exclusively Breastfed,First Visit
S08000022,2006/2007,Count,Babies,286,Breastfed,6 To 8 Week Review
S08000022,2006/2007,Count,Babies,207,Exclusively Breastfed,6 To 8 Week Review
S08000024,2006/2007,Count,Babies,4988,Breastfed,First Visit
S08000024,2006/2007,Count,Babies,4106,Exclusively Breastfed,First Visit
S08000024,2006/2007,Count,Babies,4079,Breastfed,6 To 8 Week Review
S08000024,2006/2007,Count,Babies,3008,Exclusively Breastfed,6 To 8 Week Review
S08000028,2006/2007,Count,Babies,78,Breastfed,First Visit
S08000028,2006/2007,Count,Babies,64,Exclusively Breastfed,First Visit
S08000028,2006/2007,Count,Babies,51,Breastfed,6 To 8 Week Review
S08000028,2006/2007,Count,Babies,40,Exclusively Breastfed,6 To 8 Week Review
S08000029,2006/2007,Count,Babies,1774,Breastfed,First Visit
S08000029,2006/2007,Count,Babies,1576,Exclusively Breastfed,First Visit
S08000029,2006/2007,Count,Babies,1367,Breastfed,6 To 8 Week Review
S08000029,2006/2007,Count,Babies,1053,Exclusively Breastfed,6 To 8 Week Review
S08000030,2006/2007,Count,Babies,1883,Breastfed,First Visit
S08000030,2006/2007,Count,Babies,1656,Exclusively Breastfed,First Visit
S08000030,2006/2007,Count,Babies,1495,Breastfed,6 To 8 Week Review
S08000030,2006/2007,Count,Babies,1101,Exclusively Breastfed,6 To 8 Week Review
S08000015,2007/2008,Count,Babies,1264,Breastfed,First Visit
S08000015,2007/2008,Count,Babies,1113,Exclusively Breastfed,First Visit
S08000015,2007/2008,Count,Babies,919,Breastfed,6 To 8 Week Review
S08000015,2007/2008,Count,Babies,662,Exclusively Breastfed,6 To 8 Week Review
S08000016,2007/2008,Count,Babies,546,Breastfed,First Visit
S08000016,2007/2008,Count,Babies,464,Exclusively Breastfed,First Visit
S08000016,2007/2008,Count,Babies,417,Breastfed,6 To 8 Week Review
S08000016,2007/2008,Count,Babies,305,Exclusively Breastfed,6 To 8 Week Review
S08000017,2007/2008,Count,Babies,603,Breastfed,First Visit
S08000017,2007/2008,Count,Babies,472,Exclusively Breastfed,First Visit
S08000017,2007/2008,Count,Babies,483,Breastfed,6 To 8 Week Review
S08000017,2007/2008,Count,Babies,353,Exclusively Breastfed,6 To 8 Week Review
S08000019,2007/2008,Count,Babies,1281,Breastfed,First Visit
S08000019,2007/2008,Count,Babies,1088,Exclusively Breastfed,First Visit
S08000019,2007/2008,Count,Babies,938,Breastfed,6 To 8 Week Review
S08000019,2007/2008,Count,Babies,719,Exclusively Breastfed,6 To 8 Week Review
S08000022,2007/2008,Count,Babies,1342,Breastfed,First Visit
S08000022,2007/2008,Count,Babies,1156,Exclusively Breastfed,First Visit
S08000022,2007/2008,Count,Babies,956,Breastfed,6 To 8 Week Review
S08000022,2007/2008,Count,Babies,730,Exclusively Breastfed,6 To 8 Week Review
S08000024,2007/2008,Count,Babies,5365,Breastfed,First Visit
S08000024,2007/2008,Count,Babies,4415,Exclusively Breastfed,First Visit
S08000024,2007/2008,Count,Babies,4310,Breastfed,6 To 8 Week Review
S08000024,2007/2008,Count,Babies,3169,Exclusively Breastfed,6 To 8 Week Review
S08000028,2007/2008,Count,Babies,86,Breastfed,First Visit
S08000028,2007/2008,Count,Babies,66,Exclusively Breastfed,First Visit
S08000028,2007/2008,Count,Babies,70,Breastfed,6 To 8 Week Review
S08000028,2007/2008,Count,Babies,46,Exclusively Breastfed,6 To 8 Week Review
S08000029,2007/2008,Count,Babies,1883,Breastfed,First Visit
S08000029,2007/2008,Count,Babies,1650,Exclusively Breastfed,First Visit
S08000029,2007/2008,Count,Babies,1398,Breastfed,6 To 8 Week Review
S08000029,2007/2008,Count,Babies,1080,Exclusively Breastfed,6 To 8 Week Review
S08000030,2007/2008,Count,Babies,1984,Breastfed,First Visit
S08000030,2007/2008,Count,Babies,1712,Exclusively Breastfed,First Visit
S08000030,2007/2008,Count,Babies,1490,Breastfed,6 To 8 Week Review
S08000030,2007/2008,Count,Babies,1080,Exclusively Breastfed,6 To 8 Week Review
S08000015,2008/2009,Count,Babies,1296,Breastfed,First Visit
S08000015,2008/2009,Count,Babies,1120,Exclusively Breastfed,First Visit
S08000015,2008/2009,Count,Babies,967,Breastfed,6 To 8 Week Review
S08000015,2008/2009,Count,Babies,707,Exclusively Breastfed,6 To 8 Week Review
S08000016,2008/2009,Count,Babies,587,Breastfed,First Visit
S08000016,2008/2009,Count,Babies,484,Exclusively Breastfed,First Visit
S08000016,2008/2009,Count,Babies,479,Breastfed,6 To 8 Week Review
S08000016,2008/2009,Count,Babies,327,Exclusively Breastfed,6 To 8 Week Review
S08000017,2008/2009,Count,Babies,583,Breastfed,First Visit
S08000017,2008/2009,Count,Babies,448,Exclusively Breastfed,First Visit
S08000017,2008/2009,Count,Babies,455,Breastfed,6 To 8 Week Review
S08000017,2008/2009,Count,Babies,329,Exclusively Breastfed,6 To 8 Week Review
S08000019,2008/2009,Count,Babies,1372,Breastfed,First Visit
S08000019,2008/2009,Count,Babies,1175,Exclusively Breastfed,First Visit
S08000019,2008/2009,Count,Babies,1025,Breastfed,6 To 8 Week Review
S08000019,2008/2009,Count,Babies,780,Exclusively Breastfed,6 To 8 Week Review
S08000022,2008/2009,Count,Babies,1607,Breastfed,First Visit
S08000022,2008/2009,Count,Babies,1407,Exclusively Breastfed,First Visit
S08000022,2008/2009,Count,Babies,1140,Breastfed,6 To 8 Week Review
S08000022,2008/2009,Count,Babies,902,Exclusively Breastfed,6 To 8 Week Review
S08000024,2008/2009,Count,Babies,5669,Breastfed,First Visit
S08000024,2008/2009,Count,Babies,4571,Exclusively Breastfed,First Visit
S08000024,2008/2009,Count,Babies,4487,Breastfed,6 To 8 Week Review
S08000024,2008/2009,Count,Babies,3362,Exclusively Breastfed,6 To 8 Week Review
S08000026,2008/2009,Count,Babies,153,Breastfed,First Visit
S08000026,2008/2009,Count,Babies,133,Exclusively Breastfed,First Visit
S08000026,2008/2009,Count,Babies,128,Breastfed,6 To 8 Week Review
S08000026,2008/2009,Count,Babies,106,Exclusively Breastfed,6 To 8 Week Review
S08000028,2008/2009,Count,Babies,113,Breastfed,First Visit
S08000028,2008/2009,Count,Babies,89,Exclusively Breastfed,First Visit
S08000028,2008/2009,Count,Babies,88,Breastfed,6 To 8 Week Review
S08000028,2008/2009,Count,Babies,66,Exclusively Breastfed,6 To 8 Week Review
S08000029,2008/2009,Count,Babies,1880,Breastfed,First Visit
S08000029,2008/2009,Count,Babies,1632,Exclusively Breastfed,First Visit
S08000029,2008/2009,Count,Babies,1416,Breastfed,6 To 8 Week Review
S08000029,2008/2009,Count,Babies,1062,Exclusively Breastfed,6 To 8 Week Review
S08000030,2008/2009,Count,Babies,1990,Breastfed,First Visit
S08000030,2008/2009,Count,Babies,1719,Exclusively Breastfed,First Visit
S08000030,2008/2009,Count,Babies,1497,Breastfed,6 To 8 Week Review
S08000030,2008/2009,Count,Babies,1120,Exclusively Breastfed,6 To 8 Week Review
S08000015,2009/2010,Count,Babies,1323,Breastfed,First Visit
S08000015,2009/2010,Count,Babies,1113,Exclusively Breastfed,First Visit
S08000015,2009/2010,Count,Babies,912,Breastfed,6 To 8 Week Review
S08000015,2009/2010,Count,Babies,672,Exclusively Breastfed,6 To 8 Week Review
S08000016,2009/2010,Count,Babies,553,Breastfed,First Visit
S08000016,2009/2010,Count,Babies,428,Exclusively Breastfed,First Visit
S08000016,2009/2010,Count,Babies,443,Breastfed,6 To 8 Week Review
S08000016,2009/2010,Count,Babies,312,Exclusively Breastfed,6 To 8 Week Review
S08000017,2009/2010,Count,Babies,625,Breastfed,First Visit
S08000017,2009/2010,Count,Babies,476,Exclusively Breastfed,First Visit
S08000017,2009/2010,Count,Babies,481,Breastfed,6 To 8 Week Review
S08000017,2009/2010,Count,Babies,325,Exclusively Breastfed,6 To 8 Week Review
S08000019,2009/2010,Count,Babies,1319,Breastfed,First Visit
S08000019,2009/2010,Count,Babies,1036,Exclusively Breastfed,First Visit
S08000019,2009/2010,Count,Babies,930,Breastfed,6 To 8 Week Review
S08000019,2009/2010,Count,Babies,716,Exclusively Breastfed,6 To 8 Week Review
S08000022,2009/2010,Count,Babies,1538,Breastfed,First Visit
S08000022,2009/2010,Count,Babies,1303,Exclusively Breastfed,First Visit
S08000022,2009/2010,Count,Babies,1098,Breastfed,6 To 8 Week Review
S08000022,2009/2010,Count,Babies,864,Exclusively Breastfed,6 To 8 Week Review
S08000024,2009/2010,Count,Babies,5678,Breastfed,First Visit
S08000024,2009/2010,Count,Babies,4483,Exclusively Breastfed,First Visit
S08000024,2009/2010,Count,Babies,4576,Breastfed,6 To 8 Week Review
S08000024,2009/2010,Count,Babies,3332,Exclusively Breastfed,6 To 8 Week Review
S08000026,2009/2010,Count,Babies,165,Breastfed,First Visit
S08000026,2009/2010,Count,Babies,141,Exclusively Breastfed,First Visit
S08000026,2009/2010,Count,Babies,139,Breastfed,6 To 8 Week Review
S08000026,2009/2010,Count,Babies,109,Exclusively Breastfed,6 To 8 Week Review
S08000028,2009/2010,Count,Babies,78,Breastfed,First Visit
S08000028,2009/2010,Count,Babies,62,Exclusively Breastfed,First Visit
S08000028,2009/2010,Count,Babies,51,Breastfed,6 To 8 Week Review
S08000028,2009/2010,Count,Babies,37,Exclusively Breastfed,6 To 8 Week Review
S08000029,2009/2010,Count,Babies,1873,Breastfed,First Visit
S08000029,2009/2010,Count,Babies,1575,Exclusively Breastfed,First Visit
S08000029,2009/2010,Count,Babies,1343,Breastfed,6 To 8 Week Review
S08000029,2009/2010,Count,Babies,1007,Exclusively Breastfed,6 To 8 Week Review
S08000030,2009/2010,Count,Babies,2068,Breastfed,First Visit
S08000030,2009/2010,Count,Babies,1729,Exclusively Breastfed,First Visit
S08000030,2009/2010,Count,Babies,1521,Breastfed,6 To 8 Week Review
S08000030,2009/2010,Count,Babies,1094,Exclusively Breastfed,6 To 8 Week Review
S08000015,2010/2011,Count,Babies,1273,Breastfed,First Visit
S08000015,2010/2011,Count,Babies,1046,Exclusively Breastfed,First Visit
S08000015,2010/2011,Count,Babies,916,Breastfed,6 To 8 Week Review
S08000015,2010/2011,Count,Babies,660,Exclusively Breastfed,6 To 8 Week Review
S08000016,2010/2011,Count,Babies,540,Breastfed,First Visit
S08000016,2010/2011,Count,Babies,407,Exclusively Breastfed,First Visit
S08000016,2010/2011,Count,Babies,430,Breastfed,6 To 8 Week Review
S08000016,2010/2011,Count,Babies,308,Exclusively Breastfed,6 To 8 Week Review
S08000017,2010/2011,Count,Babies,577,Breastfed,First Visit
S08000017,2010/2011,Count,Babies,457,Exclusively Breastfed,First Visit
S08000017,2010/2011,Count,Babies,436,Breastfed,6 To 8 Week Review
S08000017,2010/2011,Count,Babies,305,Exclusively Breastfed,6 To 8 Week Review
S08000019,2010/2011,Count,Babies,1250,Breastfed,First Visit
S08000019,2010/2011,Count,Babies,1009,Exclusively Breastfed,First Visit
S08000019,2010/2011,Count,Babies,954,Breastfed,6 To 8 Week Review
S08000019,2010/2011,Count,Babies,704,Exclusively Breastfed,6 To 8 Week Review
S08000020,2010/2011,Count,Babies,2499,Breastfed,First Visit
S08000020,2010/2011,Count,Babies,1898,Exclusively Breastfed,First Visit
S08000020,2010/2011,Count,Babies,2143,Breastfed,6 To 8 Week Review
S08000020,2010/2011,Count,Babies,1495,Exclusively Breastfed,6 To 8 Week Review
S08000022,2010/2011,Count,Babies,1561,Breastfed,First Visit
S08000022,2010/2011,Count,Babies,1280,Exclusively Breastfed,First Visit
S08000022,2010/2011,Count,Babies,1153,Breastfed,6 To 8 Week Review
S08000022,2010/2011,Count,Babies,878,Exclusively Breastfed,6 To 8 Week Review
S08000024,2010/2011,Count,Babies,5803,Breastfed,First Visit
S08000024,2010/2011,Count,Babies,4439,Exclusively Breastfed,First Visit
S08000024,2010/2011,Count,Babies,4575,Breastfed,6 To 8 Week Review
S08000024,2010/2011,Count,Babies,3267,Exclusively Breastfed,6 To 8 Week Review
S08000025,2010/2011,Count,Babies,76,Breastfed,First Visit
S08000025,2010/2011,Count,Babies,62,Exclusively Breastfed,First Visit
S08000025,2010/2011,Count,Babies,61,Breastfed,6 To 8 Week Review
S08000025,2010/2011,Count,Babies,53,Exclusively Breastfed,6 To 8 Week Review
S08000026,2010/2011,Count,Babies,165,Breastfed,First Visit
S08000026,2010/2011,Count,Babies,135,Exclusively Breastfed,First Visit
S08000026,2010/2011,Count,Babies,149,Breastfed,6 To 8 Week Review
S08000026,2010/2011,Count,Babies,112,Exclusively Breastfed,6 To 8 Week Review
S08000028,2010/2011,Count,Babies,99,Breastfed,First Visit
S08000028,2010/2011,Count,Babies,80,Exclusively Breastfed,First Visit
S08000028,2010/2011,Count,Babies,79,Breastfed,6 To 8 Week Review
S08000028,2010/2011,Count,Babies,54,Exclusively Breastfed,6 To 8 Week Review
S08000029,2010/2011,Count,Babies,1843,Breastfed,First Visit
S08000029,2010/2011,Count,Babies,1486,Exclusively Breastfed,First Visit
S08000029,2010/2011,Count,Babies,1366,Breastfed,6 To 8 Week Review
S08000029,2010/2011,Count,Babies,1017,Exclusively Breastfed,6 To 8 Week Review
S08000030,2010/2011,Count,Babies,1985,Breastfed,First Visit
S08000030,2010/2011,Count,Babies,1644,Exclusively Breastfed,First Visit
S08000030,2010/2011,Count,Babies,1510,Breastfed,6 To 8 Week Review
S08000030,2010/2011,Count,Babies,1064,Exclusively Breastfed,6 To 8 Week Review
S08000015,2011/2012,Count,Babies,1211,Breastfed,First Visit
S08000015,2011/2012,Count,Babies,1015,Exclusively Breastfed,First Visit
S08000015,2011/2012,Count,Babies,844,Breastfed,6 To 8 Week Review
S08000015,2011/2012,Count,Babies,642,Exclusively Breastfed,6 To 8 Week Review
S08000016,2011/2012,Count,Babies,519,Breastfed,First Visit
S08000016,2011/2012,Count,Babies,401,Exclusively Breastfed,First Visit
S08000016,2011/2012,Count,Babies,443,Breastfed,6 To 8 Week Review
S08000016,2011/2012,Count,Babies,324,Exclusively Breastfed,6 To 8 Week Review
S08000017,2011/2012,Count,Babies,592,Breastfed,First Visit
S08000017,2011/2012,Count,Babies,461,Exclusively Breastfed,First Visit
S08000017,2011/2012,Count,Babies,431,Breastfed,6 To 8 Week Review
S08000017,2011/2012,Count,Babies,317,Exclusively Breastfed,6 To 8 Week Review
S08000019,2011/2012,Count,Babies,1291,Breastfed,First Visit
S08000019,2011/2012,Count,Babies,1027,Exclusively Breastfed,First Visit
S08000019,2011/2012,Count,Babies,939,Breastfed,6 To 8 Week Review
S08000019,2011/2012,Count,Babies,716,Exclusively Breastfed,6 To 8 Week Review
S08000020,2011/2012,Count,Babies,3298,Breastfed,First Visit
S08000020,2011/2012,Count,Babies,2458,Exclusively Breastfed,First Visit
S08000020,2011/2012,Count,Babies,2487,Breastfed,6 To 8 Week Review
S08000020,2011/2012,Count,Babies,1739,Exclusively Breastfed,6 To 8 Week Review
S08000022,2011/2012,Count,Babies,1516,Breastfed,First Visit
S08000022,2011/2012,Count,Babies,1237,Exclusively Breastfed,First Visit
S08000022,2011/2012,Count,Babies,1078,Breastfed,6 To 8 Week Review
S08000022,2011/2012,Count,Babies,817,Exclusively Breastfed,6 To 8 Week Review
S08000024,2011/2012,Count,Babies,5761,Breastfed,First Visit
S08000024,2011/2012,Count,Babies,4277,Exclusively Breastfed,First Visit
S08000024,2011/2012,Count,Babies,4507,Breastfed,6 To 8 Week Review
S08000024,2011/2012,Count,Babies,3120,Exclusively Breastfed,6 To 8 Week Review
S08000025,2011/2012,Count,Babies,143,Breastfed,First Visit
S08000025,2011/2012,Count,Babies,114,Exclusively Breastfed,First Visit
S08000025,2011/2012,Count,Babies,103,Breastfed,6 To 8 Week Review
S08000025,2011/2012,Count,Babies,79,Exclusively Breastfed,6 To 8 Week Review
S08000026,2011/2012,Count,Babies,151,Breastfed,First Visit
S08000026,2011/2012,Count,Babies,130,Exclusively Breastfed,First Visit
S08000026,2011/2012,Count,Babies,133,Breastfed,6 To 8 Week Review
S08000026,2011/2012,Count,Babies,104,Exclusively Breastfed,6 To 8 Week Review
S08000028,2011/2012,Count,Babies,119,Breastfed,First Visit
S08000028,2011/2012,Count,Babies,101,Exclusively Breastfed,First Visit
S08000028,2011/2012,Count,Babies,92,Breastfed,6 To 8 Week Review
S08000028,2011/2012,Count,Babies,74,Exclusively Breastfed,6 To 8 Week Review
S08000029,2011/2012,Count,Babies,1817,Breastfed,First Visit
S08000029,2011/2012,Count,Babies,1479,Exclusively Breastfed,First Visit
S08000029,2011/2012,Count,Babies,1343,Breastfed,6 To 8 Week Review
S08000029,2011/2012,Count,Babies,1003,Exclusively Breastfed,6 To 8 Week Review
S08000030,2011/2012,Count,Babies,2007,Breastfed,First Visit
S08000030,2011/2012,Count,Babies,1632,Exclusively Breastfed,First Visit
S08000030,2011/2012,Count,Babies,1480,Breastfed,6 To 8 Week Review
S08000030,2011/2012,Count,Babies,1087,Exclusively Breastfed,6 To 8 Week Review
